grb GRBNAME met trigtime ra dec err ts real LLE_sig theta zenith source_events transient_events source_events_1GeV transient_events_1GeV max_photon_energy max_photon_time photon_flux photon_flux_err energy_flux energy_flux_err LAT_T90 LLE_T90 GBM_T90 LAT_GCN z afterglow BAT_det GCNNAME RA DEC ERR SEP2CLOSEST THETA ZENITH LLE IRFS TSTART_SU TSTOP_SU TS_SU Flux_SU Flux_SU_err Index_SU Index_SU_err TSTART_BEST TSTOP_BEST TS_BEST Flux_BEST Flux_BEST_err Index_BEST Index_BEST_err TSTART_AG TSTOP_AG TS_AG Flux_AG Flux_AG_err Index_AG Index_AG_err
GRB080818945 ---------- 240792050.08 "2008-08-18 22:40:49.079" 109.46 15.0 0.2564 25.1 YES 2.83 57.1 76.2 11.0 13.0 1.0 2.0 9106.7 9106.7 9e-07 4.66e-07 1.67e-09 1.78e-09 0.0 0.0 0.0 0.0 0.0 --- N 160422499 42.01 -57.82 0.0 3.96 53.3 102.1 2.0 P8_TRANSIENT010E 0.0 10000.0 33.1 1.86e-07 1.01e-07 -1.49 0.28 5.106 1252.289 43.0 1.39e-06 6.42e-07 -1.65 0.28 5.106 1252.289 43.0 1.39e-06 6.42e-07 -1.65 0.28
GRB080825593 ---------- 241366429.1 "2008-08-25 14:13:48.105" 234.7941 -3.7669 0.4798 100.4 YES 4.25 60.0 25.8 12.0 13.0 0.0 0.0 28.3 28.3 7.29e-05 2.18e-05 2.61e-08 9.47e-09 0.0 0.0 0.0 0.0 0.0 --- N 160325291 16.13 -72.65 0.14 3.4 6.8 55.4 4.1 P8_TRANSIENT010E 0.0 10000.0 80.2 4.32e-06 9.65e-07 -2.42 0.24 0.0 3000.0 80.3 4.42e-06 9.87e-07 -2.41 0.24 3.678 1555.719 76.1 4.5e-06 1.05e-06 -2.38 0.24
GRB080916009 GRB080916C 243216766.61 "2008-09-16 00:12:45.614" 119.9043 -56.6924 0.0317 2880.1 YES 15.08 48.9 83.7 167.0 216.0 15.0 15.0 65.5 65.5 0.000665 4.58e-05 4.48e-07 5.78e-08 0.0 0.0 0.0 0.0 4.35 XO N 160310016 98.78 -7.12 0.04 6.47 62.8 29.9 2.8 P8_TRANSIENT010E 0.0 10000.0 28.4 8.35e-07 7.16e-07 -1.52 0.46 0.0 3000.0 15.7 9.94e-06 0.0 -2.33 0.54 70.525 500.618 15.6 1.13e-05 0.0 -2.34 0.54
GRB081006604 ---------- 244996175.17 "2008-10-06 14:29:34.173" 135.53 -61.84 0.2578 101.2 YES 2.4 10.5 40.1 14.0 16.0 0.0 0.0 12.1 12.1 2.24e-05 6.84e-06 1.57e-08 8.68e-09 0.0 0.0 0.0 0.0 0.0 --- N 150913161 234.37 -52.78 0.75 4.72 32.2 63.8 3.2 P8_TRANSIENT020E 0.0 100.0 14.5 2.98e-05 0.0 -2.97 0.68 0.0 30.0 20.0 7.72e-05 0.0 -2.59 0.67 7.09 99.293 15.0 3.28e-05 0.0 -2.96 0.67
GRB081009140 ---------- 245215259.06 "2008-10-09 03:20:58.063" 251.5424 18.833 0.21 60.4 YES 2.54 69.0 54.5 27.0 32.0 5.0 5.0 341.1 341.1 2.03e-06 7.2e-07 4.19e-09 2.7e-09 0.0 0.0 0.0 0.0 0.0 --- N 150902733 214.92 -69.36 0.11 4.34 37.3 87.1 10.7 P8_TRANSIENT010E 0.0 4000.0 86.1 2.78e-06 5.67e-07 -2.42 0.21 0.0 1000.0 114.6 1.05e-05 1.91e-06 -2.4 0.21 2.649 2092.715 97.6 5.03e-06 9.76e-07 -2.48 0.21
GRB081024891 ---------- 246576161.86 "2008-10-24 21:22:40.864" 322.99 20.95 0.1667 95.8 YES 4.73 18.8 30.4 9.0 10.0 1.0 1.0 0.3 0.3 0.000237 6.19e-05 2.03e-07 1.23e-07 0.0 0.0 0.0 0.0 0.0 --- N 150724782 351.92 3.67 0.22 4.24 58.5 68.6 2.7 P8_TRANSIENT010E 0.0 500.0 13.8 1.74e-05 0.0 -1.76 0.53 0.0 100.0 14.6 3.39e-05 0.0 -1.49 0.53 26.348 389.525 13.8 2.07e-05 0.0 -1.75 0.53
GRB081102365 ---------- 247308301.51 "2008-11-02 08:45:00.506" 0.0 0.0 0.0 31.6 YES 3.01 48.0 47.4 4.0 6.0 0.0 0.0 1.3 1.3 2.91e-05 0.0 2.56e-08 0.0 0.0 0.0 0.0 0.0 0.0 --- N 150702998 52.57 -56.88 0.38 0.76 117.4 88.0 0.0 P8_TRANSIENT010E 0.0 10000.0 31.5 1.18e-06 4.23e-07 -2.31 0.35 0.0 3000.0 32.6 1.35e-06 4.74e-07 -2.3 0.38 363.916 2048.41 29.0 1.49e-06 5.57e-07 -2.28 0.38
GRB081122520 ---------- 249049693.21 "2008-11-22 12:28:12.211" 338.81 37.59 0.2246 33.6 YES 3.62 21.5 25.9 7.0 10.0 1.0 2.0 177.3 177.3 2.29e-06 9.53e-07 4.36e-09 3.97e-09 0.0 0.0 0.0 0.0 0.0 --- N 150627183 117.5 -51.55 0.05 3.62 74.3 97.3 2.6 P8_TRANSIENT010E 0.0 10000.0 229.0 1.51e-06 2.86e-07 -1.75 0.12 0.0 3000.0 245.6 2.68e-06 5.12e-07 -1.66 0.12 18.977 8906.405 229.0 1.51e-06 2.86e-07 -1.75 0.12
GRB081203581 GRB081203A 250005432.0 "2008-12-03 13:57:11.000" 233.46 63.95 0.2737 32.7 YES 0.0 36.9 64.5 6.0 6.0 1.0 1.0 348.7 348.7 2.9e-06 1.25e-06 2.08e-09 1.78e-09 0.0 0.0 0.0 0.0 2.1 --- Y 150523396 115.33 -45.43 0.05 2.69 25.8 55.5 5.3 P8_TRANSIENT010E 0.0 10000.0 195.5 3.07e-06 5.2e-07 -1.9 0.13 0.0 3000.0 219.3 8.79e-06 1.42e-06 -1.91 0.13 3.678 994.52 219.2 8.82e-06 1.43e-06 -1.91 0.13
GRB081224887 ---------- 251846276.41 "2008-12-24 21:17:55.414" 0.0 0.0 0.0 31.9 YES 3.24 15.6 49.3 10.0 12.0 1.0 1.0 324.9 324.9 2e-06 1.04e-06 3.53e-09 3.52e-09 0.0 0.0 0.0 0.0 0.0 --- N 150514774 74.92 -60.86 0.1 0.97 38.5 58.3 4.3 P8_TRANSIENT010E 0.0 10000.0 30.5 6.37e-07 5.22e-07 -1.32 0.47 0.0 1000.0 31.0 7.78e-07 6.17e-07 -1.33 0.46 2.649 622.735 30.9 7.76e-07 6.17e-07 -1.33 0.46
